,coal,lignite,oil,gas
2020-01-01,9.335345037371807,6.223563358247872,59.6264695009242,24.691634910059953
2020-02-01,9.299301234138712,6.199534156092475,52.996081330868755,22.145108594270482
2020-03-01,9.146115070398055,6.097410046932037,29.013826247689458,19.824223850766153
2020-04-01,8.776666087258825,5.851110724839216,19.232828096118297,17.56780812791472
2020-05-01,8.416228054927865,5.610818703285244,25.816192236598887,16.02055163224517
2020-06-01,8.488315661394058,5.658877107596038,35.22099815157116,14.763405729513654
2020-07-01,8.461282808969235,5.6408552059794905,40.25256931608132,15.182454363757493
2020-08-01,7.839527203198333,5.226351468798889,40.299593345656184,17.471104596935373
2020-09-01,8.172932383104468,5.448621588736313,37.94839186691312,20.049865423051298
2020-10-01,8.317107596036852,5.544738397357901,36.67874306839186,23.91800666222518
2020-11-01,8.434249956544413,5.622833304362942,37.85434380776339,25.400794137241835
2020-12-01,8.992928906657397,5.995285937771598,42.97996303142328,24.88504197201865
2021-01-01,9.137104119589782,6.091402746393188,47.44724584103511,26.59347101932045
2021-02-01,9.416443594646273,6.277629063097516,53.04310536044361,27.49603730846102
2021-03-01,9.722815922127587,6.4818772814183925,58.1687245841035,26.91581612258494
2021-04-01,10.11929775769164,6.746198505127761,57.322292051756,27.689444370419718
2021-05-01,10.677976707804627,7.118651138536417,60.66099815157115,31.912165223184537
2021-06-01,12.26390405006084,8.175936033373894,64.04672828096116,36.90851432378414
2021-07-01,14.516641752129326,9.677761168086217,67.99674676524953,41.06676615589606
2021-08-01,17.066740830870852,11.377827220580569,65.92768946395562,48.48070353097934
2021-09-01,19.265412828089698,12.843608552059798,66.58602587800368,54.25068087941372
2021-10-01,26.05065878671998,17.36710585781332,75.52059149722734,70.30346702198533
2021-11-01,21.40100816965062,14.267338779767082,75.84975970425138,94.22147368421051
2021-12-01,22.869793151399275,15.246528767599518,71.05330868761551,91.44930579613589
2022-01-01,23.86099774030941,15.90733182687294,79.14144177449167,107.08304330446367
2022-02-01,27.393290457152794,18.262193638101863,90.33316081330867,98.02514590273151
